transaction_id,customer_id,product_id,quantity,total_amount,transaction_date,payment_method,store_type
TRX000031,903,729,5,929.07,2020-12-21,Credit Card,Physical Store
TRX000032,765,116,1,849.13,2021-10-07,Credit Card,Physical Store
TRX000033,727,806,8,890.95,2022-07-07,PayPal,Physical Store
TRX000034,327,14,3,756.04,2021-02-08,Bank Transfer,Physical Store
TRX000035,941,46,4,782.36,2021-02-09,Cash,Online
TRX000036,463,978,9,320.96,2022-11-23,Bank Transfer,Online
TRX000037,419,57,3,980.32,2020-05-13,Bank Transfer,Physical Store
TRX000038,637,760,9,28.94,2022-06-23,Credit Card,Online
TRX000039,158,356,1,284.36,2020-05-28,PayPal,Online
TRX000040,557,933,8,154.84,2020-01-19,Cash,Physical Store
TRX000041,227,41,2,263.01,2023-10-05,PayPal,Online
TRX000042,824,972,3,233.21,2020-06-12,PayPal,Online
TRX000043,278,936,1,361.39,2020-09-09,Bank Transfer,Physical Store
TRX000044,536,300,4,858.88,2020-06-21,Credit Card,Physical Store
TRX000045,740,590,7,553.95,2021-01-06,PayPal,Online
TRX000046,664,208,5,543.63,2020-07-06,PayPal,Physical Store
TRX000047,932,805,3,-171.45,2023-09-19,PayPal,Physical Store
TRX000048,582,157,9,691.84,2023-02-07,PayPal,Physical Store
TRX000049,256,754,3,192.03,2023-11-08,Debit Card,Physical Store
TRX000050,580,463,9,310.87,2023-04-05,Cash,Online
TRX000051,391,834,1,883.77,2022-08-20,Bank Transfer,Physical Store
TRX000052,181,518,10,529.72,2023-09-15,Credit Card,Online
TRX000053,136,329,8,606.81,2023-04-20,Bank Transfer,Physical Store
TRX000054,984,275,7,447.76,2020-03-12,Cash,Online
TRX000055,693,981,1,84.27,2023-04-13,Debit Card,Physical Store
TRX000056,820,785,7,46.08,2022-03-26,Credit Card,Physical Store
TRX000057,658,128,6,834.71,2023-09-11,Credit Card,Online
TRX000058,381,595,7,20.86,2023-08-17,Cash,Physical Store
TRX000059,456,951,8,-610.69,2023-03-08,PayPal,Physical Store
TRX000060,693,695,9,907.85,2023-06-21,Credit Card,Physical Store
TRX000061,602,225,2,435.53,2022-09-27,Bank Transfer,Physical Store
TRX000062,306,563,1,170.07,2021-09-15,Cash,Online
TRX000063,234,67,2,550.83,2021-09-12,Bank Transfer,Online
TRX000064,923,536,2,210.65,2023-04-07,Debit Card,Online
TRX000065,188,676,3,334.27,2022-03-22,Bank Transfer,Physical Store
TRX000066,965,635,5,240.38,2023-12-23,Debit Card,Online
TRX000067,822,68,2,90.54,2023-08-15,Credit Card,Physical Store
TRX000068,484,9,9,504.27,2022-07-02,PayPal,Online
TRX000069,530,456,1,430.63,2022-02-10,Debit Card,Physical Store
TRX000070,672,275,2,613.98,2021-01-27,Credit Card,Physical Store
TRX000071,708,234,8,222.59,2023-11-16,Cash,Online
TRX000072,201,823,9,127.31,2022-12-04,Cash,Physical Store
TRX000073,808,583,2,34.49,2023-01-23,Credit Card,Physical Store
TRX000074,588,111,10,709.85,2021-09-10,Cash,Physical Store
TRX000075,577,57,6,-604.02,2023-07-21,Debit Card,Online
TRX000076,679,844,5,401.97,2022-04-07,Cash,Online
TRX000077,625,26,1,120.18,2021-06-14,Bank Transfer,Online
TRX000078,265,863,6,340.71,2020-06-09,Cash,Online
TRX000079,577,690,9,-811.65,2020-03-08,Debit Card,Online
TRX000080,388,99,10,713.56,2022-04-26,Cash,Online
TRX000081,99,99,4,403.28,2022-10-02,Bank Transfer,Physical Store
TRX000082,475,510,1,623.63,2021-02-24,Debit Card,Online
TRX000083,452,81,1,802.43,2023-02-25,Credit Card,Physical Store
TRX000084,785,764,4,585.81,2022-06-28,PayPal,Online
TRX000085,841,651,6,544.8,2023-08-04,Debit Card,Physical Store
TRX000086,867,90,10,533.25,2021-09-17,Bank Transfer,Physical Store
TRX000087,938,679,2,972.33,2022-08-29,PayPal,Physical Store
TRX000088,853,391,8,38.82,2020-06-09,PayPal,Online
TRX000089,619,885,7,176.88,2020-09-28,Debit Card,Online
TRX000090,93,665,3,943.61,2023-01-17,PayPal,Physical Store
TRX000091,504,678,8,-885.87,2021-07-14,Debit Card,Online
TRX000092,319,555,3,320.84,2020-09-28,Debit Card,Online
TRX000093,862,196,7,290.73,2021-04-05,Cash,Online
TRX000094,372,209,2,159.75,2022-05-03,Credit Card,Online
TRX000095,764,602,5,297.15,2021-09-30,PayPal,Online
TRX000096,31,832,2,758.25,2023-11-09,Cash,Online
TRX000097,12,697,8,275.01,2021-01-01,Credit Card,Online
TRX000098,554,235,2,357.04,2023-04-21,Credit Card,Physical Store
TRX000099,320,239,10,689.15,2022-12-24,PayPal,Physical Store
TRX000100,121,383,6,-990.37,,Credit Card,Online
TRX000101,510,318,3,-707.88,2021-08-01,Credit Card,Online
TRX000102,352,363,6,171.79,2023-11-13,PayPal,Physical Store
TRX000103,442,540,3,522.31,2022-10-26,Cash,Physical Store
TRX000104,969,312,8,28.8,2021-07-20,Debit Card,Physical Store
TRX000105,440,151,3,392.88,2023-09-22,Bank Transfer,Physical Store
TRX000106,206,260,4,21.26,,Credit Card,Online
TRX000107,186,114,6,903.78,2023-07-30,PayPal,Physical Store
TRX000108,269,420,8,693.15,2021-08-11,PayPal,Online
TRX000109,210,400,1,64.26,2020-07-20,Credit Card,Online
TRX000110,103,853,7,217.07,2022-12-10,Debit Card,Online
TRX000111,619,594,1,520.92,2020-04-02,Bank Transfer,Online
TRX000112,707,307,9,594.52,2021-03-22,Credit Card,Physical Store
TRX000113,160,299,9,763.2,2022-06-30,PayPal,Physical Store
TRX000114,154,309,8,280.26,2023-02-13,Bank Transfer,Online
TRX000115,58,475,2,299.56,2022-07-31,Bank Transfer,Online
TRX000116,652,210,10,294.36,2021-04-21,Debit Card,Physical Store
TRX000117,409,300,7,226.38,2023-12-07,Cash,Online
TRX000118,656,959,5,952.44,2020-09-17,Debit Card,Online
TRX000119,780,544,3,284.88,2022-02-26,Bank Transfer,Online
TRX000120,814,849,3,476.98,2021-11-21,Debit Card,Online
TRX000121,790,430,7,675.83,2021-08-19,Debit Card,Online
TRX000122,845,371,3,336.41,2020-02-17,PayPal,Online
TRX000123,449,658,8,548.71,2021-02-19,Debit Card,Physical Store
TRX000124,879,408,5,824.08,2022-07-31,Credit Card,Online
TRX000125,920,156,10,871.23,2022-06-12,Bank Transfer,Online
TRX000126,29,609,2,706.21,2021-12-02,Bank Transfer,Online
TRX000127,247,483,3,361.2,2020-02-07,Credit Card,Physical Store
TRX000128,907,497,10,159.42,2023-01-31,Credit Card,Online
TRX000129,207,516,9,177.05,2022-04-10,Credit Card,Online
TRX000130,558,214,7,599.63,2021-04-29,Bank Transfer,Physical Store
TRX000131,956,217,1,172.15,2023-04-26,Cash,Physical Store
TRX000132,484,106,3,615.62,2020-08-29,Credit Card,Online
TRX000133,350,685,3,519.59,2021-02-08,Bank Transfer,Online
TRX000134,107,380,6,-337.02,2022-11-08,Cash,Online
TRX000135,448,508,1,784.61,2021-11-09,Credit Card,Physical Store
TRX000136,245,162,10,692.55,2021-06-12,Credit Card,Physical Store
TRX000137,901,850,1,430.82,2022-05-19,Cash,Physical Store
TRX000138,656,96,5,96.1,2023-04-29,Cash,Physical Store
TRX000139,596,894,2,409.31,2022-01-01,Credit Card,Online
TRX000140,324,79,8,-719.05,2021-12-17,Cash,Physical Store
TRX000141,216,388,2,125.34,2021-12-12,Bank Transfer,Physical Store
TRX000142,627,22,10,134.38,2023-03-25,Credit Card,Online
TRX000143,488,531,2,922.22,2021-05-20,Bank Transfer,Physical Store
TRX000144,122,202,2,446.44,2022-09-24,Bank Transfer,Online
TRX000145,556,570,10,442.73,2023-10-19,Cash,Physical Store
TRX000146,712,862,5,100.5,2021-03-12,PayPal,Online
TRX000147,8,950,8,115.38,2021-08-27,Bank Transfer,Online
TRX000148,958,313,7,179.73,2023-05-03,Cash,Physical Store
TRX000149,906,112,2,319.21,2023-01-14,Cash,Physical Store
TRX000150,82,5,2,441.14,2023-06-02,Credit Card,Online
TRX000151,55,838,6,119.18,2021-10-30,Bank Transfer,Physical Store
TRX000152,760,939,7,932.74,2021-05-28,PayPal,Physical Store
TRX000153,425,744,1,116.37,2020-04-04,Bank Transfer,Physical Store
TRX000154,352,879,8,287.55,2021-10-06,Debit Card,Online
TRX000155,653,892,4,-152.41,2023-06-08,Cash,Physical Store
TRX000156,366,499,4,46.72,2023-08-11,Credit Card,Physical Store
TRX000157,845,98,8,547.99,2020-11-20,Debit Card,Physical Store
TRX000158,643,239,1,667.38,2023-11-18,Bank Transfer,Online
TRX000159,536,673,5,518.6,2020-11-02,Debit Card,Physical Store
TRX000160,431,378,7,613.81,2023-08-02,Credit Card,Physical Store
TRX000161,856,430,2,737.97,2023-07-23,Cash,Online
TRX000162,44,622,10,466.0,2022-07-14,Bank Transfer,Online
TRX000163,541,967,8,332.98,2021-02-08,Debit Card,Physical Store
TRX000164,596,603,1,222.31,2023-01-28,PayPal,Online
TRX000165,282,667,3,109.31,2023-01-29,Credit Card,Physical Store
TRX000166,266,151,4,913.25,2022-10-11,Credit Card,Online
TRX000167,233,945,8,49.26,2023-11-08,Debit Card,Physical Store
TRX000168,184,943,5,381.13,2023-10-06,Credit Card,Online
TRX000169,291,940,7,65.42,2021-06-05,Credit Card,Physical Store
TRX000170,365,831,6,578.44,2020-07-15,Debit Card,Online
TRX000171,403,640,5,608.01,2022-02-19,PayPal,Physical Store
TRX000172,586,569,7,748.77,2020-04-25,Credit Card,Online
TRX000173,298,427,9,297.42,2021-03-04,Bank Transfer,Online
TRX000174,539,675,8,586.61,2020-11-08,PayPal,Physical Store
TRX000175,368,753,4,835.78,2021-01-13,Cash,Physical Store
TRX000176,304,42,8,256.31,2021-10-23,Debit Card,Physical Store
TRX000177,887,192,1,954.74,2023-08-19,Credit Card,Physical Store
TRX000178,383,923,7,983.4,2020-01-03,Cash,Online
TRX000179,818,676,8,858.41,2020-12-04,Cash,Online
TRX000180,246,454,4,275.92,2021-12-22,Debit Card,Physical Store
TRX000181,379,869,5,-17.83,2021-01-08,Cash,Online
TRX000182,957,776,7,691.68,2021-02-10,Cash,Physical Store
TRX000183,514,693,9,948.96,2022-09-28,Credit Card,Physical Store
TRX000184,415,650,9,84.96,2023-08-29,Bank Transfer,Physical Store
TRX000185,708,156,5,277.32,2021-05-14,Debit Card,Online
TRX000186,796,87,4,40.06,2020-03-27,Credit Card,Online
TRX000187,50,649,3,782.58,2021-10-05,Bank Transfer,Physical Store
TRX000188,792,559,5,-474.08,2020-06-05,Bank Transfer,Physical Store
TRX000189,685,686,3,29.76,2021-04-22,Bank Transfer,Online
TRX000190,794,628,3,164.01,2023-04-30,Bank Transfer,Online
TRX000191,745,438,8,548.61,2023-08-24,Cash,Online
TRX000192,254,222,7,858.17,2022-02-09,Bank Transfer,Online
TRX000193,604,53,2,-758.51,2023-07-05,Bank Transfer,Physical Store
TRX000194,387,492,3,563.15,2022-08-17,Credit Card,Physical Store
TRX000195,541,103,6,957.13,2023-11-09,Cash,Physical Store
TRX000196,865,850,8,957.36,,Credit Card,Physical Store
TRX000197,602,115,9,476.02,2020-06-02,Bank Transfer,Online
TRX000198,680,207,9,882.53,2022-02-06,Bank Transfer,Physical Store
TRX000199,847,601,1,-854.72,2020-09-03,Bank Transfer,Physical Store
TRX000200,358,394,7,768.48,2020-09-08,Bank Transfer,Physical Store
TRX000201,848,123,7,149.0,2023-12-27,PayPal,Physical Store
TRX000202,178,771,3,622.44,2020-08-04,PayPal,Online
TRX000203,883,21,1,-94.33,2020-10-02,Bank Transfer,Online
TRX000204,691,221,10,770.36,2023-04-25,Cash,Online
TRX000205,446,996,6,884.81,2020-09-07,Cash,Physical Store
TRX000206,105,110,3,42.82,2020-10-02,Debit Card,Online
TRX000207,405,664,9,955.03,2021-11-03,Debit Card,Physical Store
TRX000208,455,729,6,448.36,,PayPal,Physical Store
TRX000209,254,1,5,897.49,2023-12-21,Bank Transfer,Online
TRX000210,779,880,10,155.0,2020-02-01,Bank Transfer,Online
TRX000211,38,959,4,273.41,2021-12-22,Cash,Physical Store
TRX000212,826,373,1,183.47,2023-08-18,PayPal,Physical Store
TRX000213,502,480,10,146.92,2023-06-14,Bank Transfer,Physical Store
TRX000214,49,622,1,274.44,2023-08-14,Credit Card,Online
TRX000215,702,759,7,413.78,2023-04-14,Cash,Online
TRX000216,409,860,6,87.9,2022-11-18,Cash,Online
TRX000217,379,953,6,228.64,2020-02-01,Credit Card,Physical Store
TRX000218,854,848,2,419.85,2022-05-25,Debit Card,Physical Store
TRX000219,231,497,4,876.66,2022-11-16,Cash,Online
TRX000220,365,236,4,836.88,2021-04-04,Cash,Physical Store
TRX000221,842,403,10,622.75,,Bank Transfer,Physical Store
TRX000222,390,897,8,543.72,2023-02-12,Cash,Online
TRX000223,932,525,7,337.35,2023-02-20,Bank Transfer,Physical Store
TRX000224,308,538,4,803.11,2023-08-12,PayPal,Physical Store
TRX000225,415,325,7,188.16,2022-06-12,Credit Card,Online
TRX000226,692,829,7,703.6,2020-08-15,Credit Card,Online
TRX000227,283,688,5,772.86,2021-06-11,Cash,Online
TRX000228,338,874,6,394.32,2020-02-02,Debit Card,Online
TRX000229,195,664,3,742.08,2023-05-19,Cash,Physical Store
TRX000230,291,484,1,923.01,2022-08-31,Bank Transfer,Online
TRX000231,111,60,4,484.34,2023-07-18,Debit Card,Online
TRX000232,251,812,9,-93.08,2021-06-07,Credit Card,Physical Store
TRX000233,936,531,10,840.63,2023-12-13,Credit Card,Physical Store
TRX000234,975,955,9,401.56,2023-12-28,PayPal,Physical Store
TRX000235,141,794,1,96.01,2020-11-04,Credit Card,Online
TRX000236,701,625,8,695.58,2020-07-03,Bank Transfer,Online
TRX000237,998,799,8,-408.03,2023-09-10,Cash,Online
TRX000238,303,147,8,520.89,2023-04-15,PayPal,Online
TRX000239,853,895,10,773.04,2020-05-14,Credit Card,Online
TRX000240,191,62,10,-629.01,2020-12-27,Debit Card,Physical Store
TRX000241,125,776,5,-167.77,2023-04-20,PayPal,Online
TRX000242,904,367,8,398.69,2020-10-13,Debit Card,Online
TRX000243,988,221,8,32.84,2021-01-19,Cash,Online
TRX000244,620,959,3,97.66,2021-01-31,Credit Card,Physical Store
TRX000245,963,940,4,776.36,2023-11-25,Debit Card,Physical Store
TRX000246,541,878,4,81.89,2020-05-18,Cash,Physical Store
TRX000247,830,430,10,402.29,2022-03-20,Cash,Online
TRX000248,10,759,7,-659.19,2021-12-15,Credit Card,Physical Store
TRX000249,311,601,4,250.69,2021-04-24,Cash,Physical Store
TRX000250,378,548,6,563.71,2022-04-27,Debit Card,Physical Store
TRX000251,286,52,10,525.71,2021-08-07,Cash,Online
TRX000252,45,960,7,690.22,2022-12-17,Credit Card,Physical Store
TRX000253,755,883,10,831.99,2021-03-15,PayPal,Physical Store
TRX000254,741,542,2,723.22,2021-07-12,PayPal,Physical Store
TRX000255,599,464,9,190.82,2023-07-16,Cash,Online
TRX000256,656,663,3,341.4,2020-11-09,Bank Transfer,Online
TRX000257,797,19,8,761.57,2020-08-02,Bank Transfer,Online
TRX000258,392,289,2,878.56,2021-02-18,PayPal,Physical Store
TRX000259,682,999,8,638.5,2022-02-22,Credit Card,Physical Store
TRX000260,340,684,2,87.3,2020-10-07,Credit Card,Physical Store
TRX000261,367,819,1,337.5,2021-09-09,PayPal,Physical Store
TRX000262,512,88,2,533.68,2022-09-30,Credit Card,Physical Store
TRX000263,676,101,5,919.99,2020-07-23,Credit Card,Physical Store
TRX000264,955,238,6,785.02,2023-08-29,Cash,Physical Store
TRX000265,866,393,1,985.83,2023-03-02,Debit Card,Physical Store
TRX000266,816,384,10,554.7,2020-03-08,Credit Card,Online
TRX000267,442,289,9,32.75,2020-01-17,Credit Card,Physical Store
TRX000268,560,898,2,466.24,2022-12-13,Debit Card,Online
TRX000269,55,236,4,317.86,2022-02-18,Debit Card,Online
TRX000270,895,81,5,373.9,2022-06-14,Cash,Online
TRX000271,704,687,1,649.18,2021-12-28,Debit Card,Physical Store
TRX000272,144,554,3,704.73,2022-10-11,Debit Card,Online
TRX000273,945,400,3,21.98,2021-06-04,Cash,Online
TRX000274,27,371,1,678.78,2022-12-18,Credit Card,Physical Store
TRX000275,985,980,1,31.77,2021-11-12,PayPal,Online
TRX000276,221,273,3,835.78,2020-09-27,PayPal,Online
TRX000277,912,299,6,807.19,2022-04-16,Bank Transfer,Online
TRX000278,619,56,7,546.3,2021-07-23,Cash,Physical Store
TRX000279,406,9,1,712.34,2022-09-28,Debit Card,Online
TRX000280,89,747,10,935.47,2023-08-23,Cash,Online
TRX000281,731,307,5,39.62,2022-01-14,Bank Transfer,Online
TRX000282,844,155,3,214.21,2023-07-21,Bank Transfer,Physical Store
TRX000283,498,704,4,-41.44,2023-10-14,Credit Card,Physical Store
TRX000284,595,269,3,161.71,2020-06-30,Debit Card,Physical Store
TRX000285,660,125,10,678.43,2023-05-28,Debit Card,Physical Store
TRX000286,855,799,2,142.76,2021-12-02,Cash,Online
TRX000287,226,374,7,578.27,2023-02-23,Credit Card,Physical Store
TRX000288,406,726,7,977.1,2022-12-06,Bank Transfer,Physical Store
TRX000289,764,177,9,963.95,2021-10-31,Credit Card,Physical Store
TRX000290,363,454,2,92.4,2020-07-17,PayPal,Online
TRX000291,306,234,1,662.84,2021-09-03,PayPal,Physical Store
TRX000292,411,561,6,597.42,2023-07-25,Bank Transfer,Physical Store
TRX000293,139,468,5,-873.61,2023-05-01,Cash,Online
TRX000294,909,710,9,792.04,2020-05-28,Cash,Physical Store
TRX000295,686,889,5,690.62,2021-02-05,Cash,Online
TRX000296,506,249,6,627.48,2023-04-05,PayPal,Physical Store
TRX000297,612,436,4,28.47,2022-07-16,Cash,Physical Store
TRX000298,634,491,5,813.8,2023-07-30,PayPal,Physical Store
TRX000299,624,799,4,926.77,2022-12-16,Cash,Online
TRX000300,814,644,7,699.05,2022-02-05,Debit Card,Online
TRX000301,846,121,2,915.09,2022-09-29,Credit Card,Physical Store
TRX000302,677,254,3,-63.29,2020-02-18,Bank Transfer,Physical Store
TRX000303,370,884,7,529.83,2020-02-07,Credit Card,Online
TRX000304,553,312,5,345.28,2021-03-23,Cash,Online
TRX000305,647,435,7,220.67,2023-07-01,Cash,Online
TRX000306,838,564,3,561.92,2023-12-01,Credit Card,Online
TRX000307,665,171,8,-206.13,2020-07-09,Credit Card,Physical Store
TRX000308,980,326,9,764.51,2023-03-25,PayPal,Physical Store
TRX000309,242,392,10,218.86,2020-12-28,Debit Card,Online
TRX000310,368,124,8,803.78,2020-01-21,Credit Card,Physical Store
TRX000311,378,719,2,945.18,2020-02-19,Bank Transfer,Online
TRX000312,385,680,7,-382.02,2023-06-24,Credit Card,Online
TRX000313,380,124,9,525.92,2022-04-14,Cash,Online
TRX000314,102,876,9,-766.3,2021-12-02,Credit Card,Physical Store
TRX000315,869,972,4,501.67,2021-10-27,PayPal,Online
TRX000316,81,729,2,271.26,2022-04-09,Cash,Physical Store
TRX000317,265,270,4,983.64,2023-06-02,Debit Card,Online
TRX000318,60,358,7,-937.46,2022-03-21,PayPal,Physical Store
TRX000319,29,368,2,402.61,2020-05-27,Debit Card,Physical Store
TRX000320,88,217,4,-33.5,2021-07-01,Credit Card,Physical Store
TRX000321,308,354,2,426.22,2020-12-08,PayPal,Online
TRX000322,92,710,3,153.75,2020-07-10,PayPal,Physical Store
TRX000323,508,567,9,419.56,2022-09-12,Bank Transfer,Physical Store
TRX000324,534,116,1,797.33,2021-06-27,Credit Card,Physical Store
TRX000325,493,262,4,76.88,2022-06-27,Debit Card,Physical Store
TRX000326,638,602,2,687.12,2021-07-10,Bank Transfer,Online
TRX000327,787,290,9,923.28,2023-09-05,PayPal,Physical Store
TRX000328,893,698,3,662.46,2021-07-15,Cash,Physical Store
TRX000329,892,974,1,-250.74,2023-12-05,Cash,Online
TRX000330,597,413,7,634.94,2021-08-30,Cash,Physical Store
TRX000331,171,478,4,467.75,2020-10-12,Bank Transfer,Online
TRX000332,724,950,5,403.22,2023-08-22,Cash,Physical Store
TRX000333,721,280,9,774.57,2022-11-14,Credit Card,Physical Store
TRX000334,986,950,5,625.08,2021-09-18,PayPal,Online
TRX000335,660,357,6,60.09,2022-12-02,Cash,Physical Store
TRX000336,185,596,6,710.73,2021-09-26,Debit Card,Physical Store
TRX000337,727,381,8,-48.41,2021-01-30,Credit Card,Physical Store
TRX000338,442,827,8,295.23,2022-08-28,Credit Card,Online
TRX000339,453,275,8,329.5,2021-10-07,Debit Card,Online
TRX000340,757,89,4,928.01,2023-08-05,PayPal,Online
TRX000341,840,186,6,260.41,2023-05-18,Cash,Physical Store
TRX000342,20,83,10,151.7,2020-10-10,Debit Card,Physical Store
TRX000343,439,775,4,344.53,2021-09-26,Bank Transfer,Physical Store
TRX000344,513,768,8,287.82,2022-07-20,Debit Card,Online
TRX000345,378,731,5,506.09,,PayPal,Online
TRX000346,507,206,7,56.06,2023-09-11,Credit Card,Online
TRX000347,808,875,6,700.54,2022-05-21,Bank Transfer,Physical Store
TRX000348,994,419,4,732.21,2021-01-26,Bank Transfer,Online
TRX000349,709,260,8,719.53,2021-10-19,Cash,Physical Store
TRX000350,412,437,3,724.98,2022-03-12,Debit Card,Physical Store
TRX000351,675,924,10,-248.04,2021-09-13,PayPal,Online
TRX000352,708,802,4,-270.95,2022-03-31,PayPal,Physical Store
TRX000353,227,345,9,571.09,2021-09-22,Debit Card,Physical Store
TRX000354,486,322,6,727.88,2022-07-01,Bank Transfer,Physical Store
TRX000355,867,28,1,936.32,2021-06-18,Bank Transfer,Online
TRX000356,365,301,2,152.23,2020-05-01,Cash,Physical Store
TRX000357,766,685,8,439.63,2022-08-20,Cash,Physical Store
TRX000358,817,930,8,946.52,2020-04-06,Debit Card,Physical Store
TRX000359,705,615,9,828.22,2022-06-11,Credit Card,Physical Store
TRX000360,780,486,6,223.66,2021-06-03,Credit Card,Physical Store
TRX000361,622,764,9,42.61,2023-04-23,Debit Card,Online
TRX000362,410,559,8,220.01,2021-04-11,Bank Transfer,Online
TRX000363,683,516,3,104.73,2021-06-23,Bank Transfer,Online
TRX000364,802,657,4,120.42,2023-03-17,Credit Card,Physical Store
TRX000365,361,360,6,860.74,2023-05-11,Debit Card,Online
TRX000366,510,422,9,948.31,2023-10-09,Bank Transfer,Physical Store
TRX000367,941,429,7,387.55,2022-05-17,PayPal,Physical Store
TRX000368,958,238,5,925.29,2023-11-14,PayPal,Physical Store
TRX000369,824,149,8,354.2,2020-08-13,Debit Card,Online
TRX000370,73,333,1,63.66,2022-10-14,Debit Card,Online
TRX000371,27,314,6,673.06,2023-04-07,Bank Transfer,Online
TRX000372,997,492,3,651.54,2023-04-30,Debit Card,Physical Store
TRX000373,172,623,7,-700.38,2023-09-19,PayPal,Physical Store
TRX000374,71,635,4,758.02,2022-04-03,Credit Card,Physical Store
TRX000375,466,38,3,258.51,2022-10-01,Debit Card,Physical Store
TRX000376,302,599,9,843.14,2023-05-31,PayPal,Online
TRX000377,546,958,5,629.34,2021-02-01,Cash,Online
TRX000378,576,747,6,800.25,2022-10-10,Debit Card,Online
TRX000379,515,88,6,198.6,2023-04-20,Debit Card,Physical Store
TRX000380,929,519,10,437.25,2022-05-09,Credit Card,Physical Store
TRX000381,131,581,9,-984.76,2020-12-11,Cash,Physical Store
TRX000382,681,291,7,871.31,2020-04-12,Debit Card,Physical Store
TRX000383,866,738,1,143.06,2021-01-27,Cash,Online
TRX000384,540,83,1,580.68,2020-05-06,Credit Card,Online
TRX000385,138,975,7,437.36,2021-02-17,Bank Transfer,Online
TRX000386,315,667,2,917.37,2020-07-31,PayPal,Online
TRX000387,140,304,5,87.8,2022-01-12,PayPal,Online
TRX000388,230,809,8,367.3,2021-04-03,Bank Transfer,Online
TRX000389,793,965,8,716.68,2021-11-25,Cash,Online
TRX000390,674,705,3,10.26,2023-08-17,PayPal,Online
TRX000391,596,73,6,453.55,2020-10-16,Credit Card,Physical Store
TRX000392,571,622,7,768.46,2020-09-26,Credit Card,Physical Store
TRX000393,549,532,3,357.13,2021-01-11,Debit Card,Physical Store
TRX000394,256,216,2,169.63,2020-03-07,Cash,Online
TRX000395,472,850,10,78.69,2023-03-20,Debit Card,Online
TRX000396,910,992,8,493.5,2021-06-29,Bank Transfer,Physical Store
TRX000397,331,185,8,508.03,2021-06-27,Credit Card,Online
TRX000398,204,52,1,702.31,2023-08-03,Bank Transfer,Physical Store
TRX000399,847,369,1,909.49,2022-04-23,Bank Transfer,Online
TRX000400,684,99,2,187.78,2021-04-21,Credit Card,Online
TRX000401,802,548,6,154.6,2020-12-20,Credit Card,Online
TRX000402,975,595,4,570.92,2023-11-06,Debit Card,Physical Store
TRX000403,927,87,8,770.7,2021-06-08,PayPal,Physical Store
TRX000404,781,148,1,805.94,2020-06-25,Cash,Physical Store
TRX000405,353,420,6,-383.68,2023-07-04,Bank Transfer,Online
TRX000406,947,155,3,906.08,2021-01-31,Credit Card,Physical Store
TRX000407,417,115,5,828.75,2022-01-05,Cash,Physical Store
TRX000408,189,118,2,603.31,2020-07-05,Debit Card,Physical Store
TRX000409,212,657,5,336.77,2020-06-03,Debit Card,Physical Store
TRX000410,95,719,6,577.12,2020-05-04,Cash,Physical Store
TRX000411,96,474,2,388.55,2022-05-25,Debit Card,Online
TRX000412,116,901,8,557.13,2022-07-01,Credit Card,Online
TRX000413,649,899,5,126.22,2022-02-21,PayPal,Online
TRX000414,879,566,7,653.58,2023-12-20,PayPal,Online
TRX000415,539,270,1,285.34,2022-11-22,PayPal,Physical Store
TRX000416,793,278,6,576.87,2023-01-01,PayPal,Online
TRX000417,672,728,5,871.51,2020-12-14,Debit Card,Physical Store
